"scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","geoprivacy","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","oauth_application_id","captive_cultivated","date"
"Carex lenticularis lipocarpa","2015-08-08 00:00:00 -0800","Several plants near edge of pond","Ricksecker Point near pond",46.77018,-121.76836,"Carex scopulorum var. bracteosa, Cyperaceae, Ricksecker","lakeshore sedge","http://www.inaturalist.org/observations/1997523","http://static.inaturalist.org/photos/2430214/medium.jpg?1443191792","podiceps",1997523,"Carex lenticularis var. lipocarpa","Plantae",80517,"false",0,0,"2015-08-08","2015-08-08","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-25 10:36:07 -0400","2015-09-25 10:37:16 -0400","needs_id","CC-BY-NC",NA,"false",2015-08-08 00:00:00
"Picea engelmannii","2015-08-08 00:00:00 -0800","downed trunk of large tree, near river, at low elevation","between Highway 410 and the White River",46.95379,-121.52965,"Picea engelmannii, Engelman's Spruce, Pinaceae, Highway 410","Engelmann spruce","http://www.inaturalist.org/observations/1997407","http://static.inaturalist.org/photos/2430116/medium.jpg?1443190846","podiceps",1997407,"Picea engelmannii","Plantae",78582,"false",0,0,"2015-08-08","2015-08-08","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-25 10:20:07 -0400","2015-09-25 10:20:18 -0400","needs_id","CC-BY-NC",NA,"false",2015-08-08 00:00:00
"Picea engelmannii","2015-08-08 00:00:00 -0800","a few sizable trees and saplings, in coniferous forest setting near road. Previously reported large tree is down.","between Highway 410 and the White River",46.95283,-121.53029,"Picea engelmannii, Engelman's Spruce, Pinaceae, Highway 410","Engelmann spruce","http://www.inaturalist.org/observations/1997397","http://static.inaturalist.org/photos/2430107/medium.jpg?1443190597","podiceps",1997397,"Picea engelmannii","Plantae",78582,"false",0,0,"2015-08-08","2015-08-08","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-25 10:16:32 -0400","2015-09-25 10:16:40 -0400","needs_id","CC-BY-NC",NA,"false",2015-08-08 00:00:00
"Hydrophyllum tenuipes","2015-08-08 00:00:00 -0800","A few tall plants on shady, disturbed site, a few setting seed. Near the end of the flowering season.","weed pile Highway 410",46.95625,-121.5267,"Hydrophyllum tenuipes, Pacific Waterleaf, Hydrophyllaceae, Highway 410","Pacific Waterleaf","http://www.inaturalist.org/observations/1997374","http://static.inaturalist.org/photos/2430078/medium.jpg?1443190106","podiceps",1997374,"Hydrophyllum tenuipes","Plantae",77472,"false",0,0,"2015-08-08","2015-08-08","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-25 10:07:49 -0400","2015-09-25 10:08:14 -0400","needs_id","CC-BY-NC",NA,"false",2015-08-08 00:00:00
"Nemophila parviflora","2015-08-08 00:00:00 -0800","A few plants, nearly done flowering, on disturbed, mostly shaded site.","weed pile Highway 410",46.95622,-121.52653,"Nemophila parviflora, Hydrophyllaceae, Highway 410","small-flowered nemophila","http://www.inaturalist.org/observations/1997357","http://static.inaturalist.org/photos/2430043/medium.jpg?1443189636","podiceps",1997357,"Nemophila parviflora","Plantae",57353,"false",0,0,"2015-08-08","2015-08-08","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-25 10:00:29 -0400","2015-09-25 10:00:24 -0400","needs_id","CC-BY-NC",NA,"false",2015-08-08 00:00:00
"Polypodium hesperium","2015-08-08 00:00:00 -0800","Small, several on cliff face and below.","meadow at Cayuse Pass",46.8653,-121.54067,"Polypodium hesperium, Western Polypody, Polypodiaceae, Cayuse Pass","western polypody","http://www.inaturalist.org/observations/1976707","http://static.inaturalist.org/photos/2421607/medium.jpg?1443021644","podiceps",1976707,"Polypodium hesperium","Plantae",78693,"false",0,0,"2015-08-08","2015-08-08","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-23 11:20:20 -0400","2015-09-23 11:20:31 -0400","needs_id","CC-BY-NC",NA,"false",2015-08-08 00:00:00
"Isoetes bolanderi","2015-08-08 00:00:00 -0800","Large mass of plants in shallow water","Reflection Lakes",46.77039,-121.72581,"Isoetes bolanderi, Bolander's Quillwort, Isoetaceae","Bolander's quillwort","http://www.inaturalist.org/observations/1976559","http://static.inaturalist.org/photos/2421412/medium.jpg?1443018200","podiceps",1976559,"Isoetes bolanderi","Plantae",77512,"false",0,0,"2015-08-08","2015-08-08","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-23 10:22:56 -0400","2015-09-23 11:12:44 -0400","needs_id","CC-BY-NC",NA,"false",2015-08-08 00:00:00
"Isoetes bolanderi","2015-08-08 00:00:00 -0800","Several plants in shallow water.","Reflection Lakes",46.77002,-121.72581,"Isoetes bolanderi, Bolander's Quillwort, Isoetaceae","Bolander's quillwort","http://www.inaturalist.org/observations/1976546","http://static.inaturalist.org/photos/2421409/medium.jpg?1443018109","podiceps",1976546,"Isoetes bolanderi","Plantae",77512,"false",0,0,"2015-08-08","2015-08-08","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-23 10:21:24 -0400","2015-09-23 11:13:54 -0400","needs_id","CC-BY-NC",NA,"false",2015-08-08 00:00:00
"Dryopteridaceae","2015-08-08 00:00:00 -0800","A few plants on cliffside","Christine Falls",46.78106,-121.77874,"Polystichum andersonii, Anderson's Hollyfern, Dryopteridaceae, Christine Falls","Woodferns","http://www.inaturalist.org/observations/1968251","http://static.inaturalist.org/photos/2416609/medium.jpg?1442928671","podiceps",1968251,"Woodferns","Plantae",47753,"false",2,0,"2015-08-08","2015-08-08","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-21 09:52:48 -0400","2015-09-25 11:36:59 -0400","needs_id","CC-BY-NC",NA,"false",2015-08-08 00:00:00
"Magnoliophyta","2015-09-05 00:00:00 -0800","","tolmie peak trail, mt. rainier np",46.957905,-121.878352,"","Flowering Plants","http://www.inaturalist.org/observations/1948054","http://static.inaturalist.org/photos/2386430/medium.jpg?1442300039","avocat",1948054,"Flowering Plants","Plantae",47125,"false",0,0,"2015-09-05","2015-09-05","","Pacific Time (US & Canada)",54,NA,NA,"",NA,91922,"2015-09-15 02:53:42 -0400","2015-09-22 22:42:33 -0400","needs_id","CC-BY-NC",NA,"false",2015-09-05 00:00:00
"Cassiope mertensiana","2015-09-05 00:00:00 -0800","","tolmie peak trail, mt. rainier np",46.957575,-121.880824,"","Western Moss Heather","http://www.inaturalist.org/observations/1948052","http://static.inaturalist.org/photos/2386427/medium.jpg?1442299947","avocat",1948052,"Western Moss Heather","Plantae",60530,"false",1,0,"2015-09-05","2015-09-05","","Pacific Time (US & Canada)",5,NA,NA,"",NA,91922,"2015-09-15 02:52:24 -0400","2015-10-18 18:23:34 -0400","research","CC-BY-NC",NA,"false",2015-09-05 00:00:00
"Campanula rotundifolia","2015-09-05 00:00:00 -0800","","tolmie peak trail, mt. rainier np",46.95403,-121.878065,"","Harebell","http://www.inaturalist.org/observations/1948049","http://static.inaturalist.org/photos/2386421/medium.jpg?1442299801","avocat",1948049,"Harebell","Plantae",62312,"false",1,0,"2015-09-05","2015-09-05","","Pacific Time (US & Canada)",178,NA,NA,"",NA,91922,"2015-09-15 02:49:37 -0400","2015-09-22 22:42:40 -0400","research","CC-BY-NC",NA,"false",2015-09-05 00:00:00
"Magnoliophyta","2015-09-05 00:00:00 -0800","","tolmie peak trail, mt. rainier np",46.95403,-121.878065,"","Flowering Plants","http://www.inaturalist.org/observations/1948048","http://static.inaturalist.org/photos/2386420/medium.jpg?1442299780","avocat",1948048,"Flowering Plants","Plantae",47125,"false",0,0,"2015-09-05","2015-09-05","","Pacific Time (US & Canada)",178,NA,NA,"",NA,91922,"2015-09-15 02:49:17 -0400","2015-09-22 22:42:33 -0400","needs_id","CC-BY-NC",NA,"false",2015-09-05 00:00:00
"Asteraceae","2015-09-05 00:00:00 -0800","","tolmie peak trail, mt. rainier np",46.95403,-121.878065,"","Sunflower Family","http://www.inaturalist.org/observations/1948047","http://static.inaturalist.org/photos/2386419/medium.jpg?1442299757","avocat",1948047,"Sunflower Family","Plantae",47604,"false",1,0,"2015-09-05","2015-09-05","","Pacific Time (US & Canada)",178,NA,NA,"",NA,91922,"2015-09-15 02:48:53 -0400","2015-09-22 22:42:39 -0400","needs_id","CC-BY-NC",NA,"false",2015-09-05 00:00:00
"Phyllodoce empetriformis","2015-09-05 00:00:00 -0800","","tolmie peak trail, mt. rainier np",46.95403,-121.878065,"","Red Mountain-heather","http://www.inaturalist.org/observations/1948046","http://static.inaturalist.org/photos/2386418/medium.jpg?1442299735","avocat",1948046,"Red Mountain-heather","Plantae",78560,"false",1,0,"2015-09-05","2015-09-05","","Pacific Time (US & Canada)",178,NA,NA,"",NA,91922,"2015-09-15 02:48:32 -0400","2015-09-29 14:48:13 -0400","research","CC-BY-NC",NA,"false",2015-09-05 00:00:00
"Cinna latifolia","2015-08-06 00:00:00 -0800","Tall plants with ripening seed, growing alongside road","Highway 706 between Nisqually entrance and Longmire",46.74941,-121.81625,"Cinna latifolia, Poaceae, Highway 706","drooping woodreed","http://www.inaturalist.org/observations/1918732","http://static.inaturalist.org/photos/2344750/medium.jpg?1441416290","podiceps",1918732,"Cinna latifolia","Plantae",76340,"false",0,0,"2015-08-06","2015-08-06","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-04 21:24:47 -0400","2015-09-04 21:32:42 -0400","needs_id","CC-BY-NC",NA,"false",2015-08-06 00:00:00
"Oreostemma alpigenum","2015-09-02 00:00:00 -0500","","Paradise, WA",46.905246,-121.563721,"","Tundra Aster","http://www.inaturalist.org/observations/1918484","http://static.inaturalist.org/photos/2344386/medium.jpg?1441405532","sarka",1918484,"Tundra Aster","Plantae",78280,"false",0,0,"2015-09-02","2015-09-02","","Eastern Time (US & Canada)",11678,NA,NA,"",NA,56029,"2015-09-04 18:25:23 -0400","2015-09-04 18:28:17 -0400","needs_id","CC-BY-NC",NA,"false",2015-09-02 00:00:00
"Anemone occidentalis","2015-09-02 00:00:00 -0500","","Paradise, WA",46.905246,-121.563721,"","Western anemone","http://www.inaturalist.org/observations/1918447","http://static.inaturalist.org/photos/2344335/medium.jpg?1441404166","sarka",1918447,"Western anemone","Plantae",75443,"false",1,0,"2015-09-02","2015-09-02","","Eastern Time (US & Canada)",11678,NA,NA,"",NA,56029,"2015-09-04 18:02:43 -0400","2015-09-05 12:02:09 -0400","research","CC-BY-NC",NA,"false",2015-09-02 00:00:00
"Carex preslii","2015-08-08 00:00:00 -0800","Bunched, medium-height carex with ripening seed, alongside road.","Highway 706 between Nisqually entrance and Longmire",46.75393,-121.81192,"Carex preslii, Presl's Sedge, Cyperaceae, Highway 706","Presl's sedge","http://www.inaturalist.org/observations/1917703","http://static.inaturalist.org/photos/2343420/medium.jpg?1441383480","podiceps",1917703,"Carex preslii","Plantae",76096,"false",0,0,"2015-08-08","2015-08-08","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-04 12:17:56 -0400","2015-09-04 21:33:58 -0400","needs_id","CC-BY-NC",NA,"false",2015-08-08 00:00:00
"Streptopus amplexifolius","2015-07-24 00:00:00 -0800","A few tall plants near stream, in fruit.","Sunrise Road",46.90998,-121.5844,"Streptopus amplexifolius, Claspleaf Twistedstalk, Liliaceae, Sunrise Road","white twisted-stalk","http://www.inaturalist.org/observations/1914618","http://static.inaturalist.org/photos/2338609/medium.jpg?1441289848","podiceps",1914618,"Streptopus amplexifolius","Plantae",79273,"false",0,0,"2015-07-24","2015-07-24","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-03 10:17:23 -0400","2015-09-04 10:39:30 -0400","needs_id","CC-BY-NC",NA,"false",2015-07-24 00:00:00
"Mitellastra caulescens","2015-07-24 00:00:00 -0800","A few plants near stream, setting seed.","Sunrise Road",46.90998,-121.5844,"Mitella caulescens, Slightsteemed Miterwort, Saxifragaceae, Sunrise Road","Leafy Bishop's-cap","http://www.inaturalist.org/observations/1914616","http://static.inaturalist.org/photos/2338606/medium.jpg?1441289729","podiceps",1914616,"Mitella caulescens","Plantae",78086,"false",0,0,"2015-07-24","2015-07-24","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-03 10:15:24 -0400","2015-09-04 10:39:54 -0400","needs_id","CC-BY-NC",NA,"false",2015-07-24 00:00:00
"Claytonia cordifolia","2015-07-24 00:00:00 -0800","Large clump, but very localized, near stream at switchback","Sunrise Road",46.90998,-121.5844,"Claytonia cordifolia, Heartleaf Springbeauty, Montiaceae, Sunrise Road","Heartleaf Springbeauty","http://www.inaturalist.org/observations/1914609","http://static.inaturalist.org/photos/2338597/medium.jpg?1441289463","podiceps",1914609,"Claytonia cordifolia","Plantae",76386,"false",0,0,"2015-07-24","2015-07-24","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-03 10:10:53 -0400","2015-09-04 10:40:03 -0400","needs_id","CC-BY-NC",NA,"false",2015-07-24 00:00:00
"Rubus leucodermis","2015-07-24 00:00:00 -0800","Very large plants, with fruit.","weed pile Highway 410",46.90998,-121.5844,"Rubus leucodermis, Whitebark Raspberry, Rosaceae, Highway 410","Blackcap Raspberry","http://www.inaturalist.org/observations/1914601","http://static.inaturalist.org/photos/2338589/medium.jpg?1441289196","podiceps",1914601,"Rubus leucodermis","Plantae",63960,"false",0,0,"2015-07-24","2015-07-24","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-03 10:06:32 -0400","2015-09-04 10:40:31 -0400","needs_id","CC-BY-NC",NA,"false",2015-07-24 00:00:00
"Collomia linearis","2015-07-24 00:00:00 -0800","A few plants, setting seed.","small falls along Highway 410",46.86665833,-121.5166056,"Collomia linearis, Polemoniaceae, weed pile-Highway 410","narrow-leaf mountain trumpet","http://www.inaturalist.org/observations/1914598","http://static.inaturalist.org/photos/2338586/medium.jpg?1441289049","podiceps",1914598,"Collomia linearis","Plantae",76416,"false",1,0,"2015-07-24","2015-07-24","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-03 10:04:04 -0400","2015-09-04 10:41:09 -0400","research","CC-BY-NC",NA,"false",2015-07-24 00:00:00
"Carex amplifolia","2015-07-24 00:00:00 -0800","Large plants, in ditch, ripening.","small falls along Highway 410",46.86665833,-121.5166056,"Carex amplifolia, Bigleaf Sedge, Cyperaceae, Highway 410","big-leaf sedge","http://www.inaturalist.org/observations/1914595","http://static.inaturalist.org/photos/2338580/medium.jpg?1441288751","podiceps",1914595,"Carex amplifolia","Plantae",76011,"false",0,0,"2015-07-24","2015-07-24","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-03 09:59:04 -0400","2015-09-04 10:41:27 -0400","needs_id","CC-BY-NC",NA,"false",2015-07-24 00:00:00
"Rubus leucodermis","2015-07-24 00:00:00 -0800","Small plants with ripe fruit, growing near stream.","small falls along Highway 410",46.86665833,-121.5166056,"Rubus leucodermis, Whitebark Raspberry, Rosaceae, Highway 410","Blackcap Raspberry","http://www.inaturalist.org/observations/1914593","http://static.inaturalist.org/photos/2338578/medium.jpg?1441288590","podiceps",1914593,"Rubus leucodermis","Plantae",63960,"false",0,0,"2015-07-24","2015-07-24","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-03 09:56:20 -0400","2015-09-04 10:41:41 -0400","needs_id","CC-BY-NC",NA,"false",2015-07-24 00:00:00
"Mimulus guttatus","2015-07-24 00:00:00 -0800","A few plants in flower, near waterfall","small falls along Highway 410",46.86665833,-121.5166056,"Mimulus guttatus, Phrymaceae, Seep Monkeyflower, Highway 410","Seep Monkeyflower","http://www.inaturalist.org/observations/1914591","http://static.inaturalist.org/photos/2338576/medium.jpg?1441288461","podiceps",1914591,"Mimulus guttatus","Plantae",48014,"false",0,0,"2015-07-24","2015-07-24","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-03 09:54:16 -0400","2015-09-04 10:41:51 -0400","needs_id","CC-BY-NC",NA,"false",2015-07-24 00:00:00
"Glyceria elata","2015-07-24 00:00:00 -0800","Mature plants in wet habitat, setting seed.","small falls along Highway 410",46.86665833,-121.5166056,"Glyceria elata, Mannagrass, Poaceae, Highway 410","fowl manna grass","http://www.inaturalist.org/observations/1914588","http://static.inaturalist.org/photos/2338574/medium.jpg?1441288309","podiceps",1914588,"Glyceria elata","Plantae",77289,"false",0,0,"2015-07-24","2015-07-24","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-03 09:51:44 -0400","2015-09-04 10:42:02 -0400","casual","CC-BY-NC",NA,"true",2015-07-24 00:00:00
"Mimulus tilingii caespitosus","2015-07-23 00:00:00 -0800","Many mature plants in wet habitat near small stream.","upper Tipsoo Lake",46.86665833,-121.5166056,"Mimulus tilingii var. caespitosus, Phrymaceae, Subalpine Monkeyflower, Tipsoo Lake","Subalpine Monkeyflower","http://www.inaturalist.org/observations/1914586","http://static.inaturalist.org/photos/2338572/medium.jpg?1441288140","podiceps",1914586,"Mimulus tilingii var. caespitosus","Plantae",54563,"false",1,0,"2015-07-23","2015-07-23","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-09-03 09:48:48 -0400","2015-10-18 18:24:04 -0400","research","CC-BY-NC",NA,"false",2015-07-23 00:00:00
"Chamerion angustifolium","2015-08-17 18:21:52 -0400","","Washington, United States",46.765811,-121.78906,"","Fireweed","http://www.inaturalist.org/observations/1897656","http://static.inaturalist.org/photos/2315151/medium.jpg?1444526885","dnydick",1897656,"Fireweed","Plantae",55983,"false",1,0,"2015-08-17 18:21:52","2015-08-17","2015-08-17 18:21:52 -0400","Eastern Time (US & Canada)",NA,NA,NA,"",NA,2544,"2015-08-27 20:49:46 -0400","2015-08-28 01:07:02 -0400","research","CC-BY-NC",NA,"false",2015-08-17 18:21:52
"Myosotis","2015-08-17 18:12:49 -0400","","Washington, United States",46.767239,-121.782742,"","forget-me-nots","http://www.inaturalist.org/observations/1897630","http://static.inaturalist.org/photos/2315115/medium.jpg?1444526881","dnydick",1897630,"forget-me-nots","Plantae",49131,"false",2,0,"2015-08-17 18:12:49","2015-08-17","2015-08-17 18:12:49 -0400","Eastern Time (US & Canada)",NA,NA,NA,"",NA,2544,"2015-08-27 20:37:40 -0400","2015-08-28 23:13:08 -0400","needs_id","CC-BY-NC",NA,"false",2015-08-17 18:12:49
"Tsuga heterophylla","2015-08-17 17:26:56 -0400","","Washington, United States",46.76771,-121.785023,"","western hemlock","http://www.inaturalist.org/observations/1897595","http://static.inaturalist.org/photos/2315054/medium.jpg?1444526878","dnydick",1897595,"western hemlock","Plantae",48254,"false",1,0,"2015-08-17 17:26:56","2015-08-17","2015-08-17 17:26:56 -0400","Eastern Time (US & Canada)",NA,NA,NA,"",NA,2544,"2015-08-27 20:21:58 -0400","2015-10-24 02:20:09 -0400","research","CC-BY-NC",NA,"false",2015-08-17 17:26:56
"Diphasiastrum alpinum","2015-07-23 00:00:00 -0800","Large clump near wetland area.","upper Tipsoo Lake",46.86669167,-121.5166583,"Lycopodium alpinum, Alpine clubmoss, Lycopodiaceae, Tipsoo Lake","Alpine Clubmoss","http://www.inaturalist.org/observations/1893372","http://static.inaturalist.org/photos/2309524/medium.jpg?1440602232","podiceps",1893372,"Lycopodium alpinum","Plantae",82393,"false",0,0,"2015-07-23","2015-07-23","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-08-26 11:16:06 -0400","2015-08-26 11:17:36 -0400","needs_id","CC-BY-NC",NA,"false",2015-07-23 00:00:00
"Agrostis scabra","2015-07-22 00:00:00 -0800","Medium-height, broad plants, setting seed","upper Tipsoo Lake",46.86736667,-121.5154167,"Agrostis scabra, Rough bentgrass, Poaceae, Tipsoo Lake","ticklegrass","http://www.inaturalist.org/observations/1893252","http://static.inaturalist.org/photos/2309367/medium.jpg?1440600945","podiceps",1893252,"Agrostis scabra","Plantae",75319,"false",0,0,"2015-07-22","2015-07-22","","Pacific Time (US & Canada)",NA,NA,NA,"",NA,20035,"2015-08-26 10:55:35 -0400","2015-08-26 11:18:08 -0400","needs_id","CC-BY-NC",NA,"false",2015-07-22 00:00:00
