Number,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,datetaken,datetakengranularity,datetakenunknown,tags,accuracy,context,place_id,woeid,geo_is_family,geo_is_friend,geo_is_contact,geo_is_public,url_z,height_z,width_z,url_o,height_o,width_o,year,URL,UTME,UTMN,lat,long
11,21987908982,10725258@N00,37179f0039,709,1,leaving paradise,1,0,0,1444156219,7/11/15 10:32,0,0,washington paradise mountrainier mountrainiernationalpark paradiseinn uwd2015,16,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm1.staticflickr.com/709/21987908982_37179f0039_z.jpg,425,640,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21987908982,596621.8112,5182266.84,-121.734105,46.786948
12,21378610343,10725258@N00,db2f9d2a66,5801,6,Paradise lobby,1,0,0,1444155468,7/11/15 9:39,0,0,panorama washington paradise interior pano lobby mountrainier mountrainiernationalpark hdr paradiseinn uwd2015,16,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm6.staticflickr.com/5801/21378610343_db2f9d2a66_z.jpg,299,640,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21378610343,596627.1142,5182245.696,-121.73404,46.786757
13,21987329422,10725258@N00,cf085980df,598,1,good coffee,1,0,0,1444154488,7/11/15 9:41,0,0,coffee washington paradise interior diningroom mountrainier mountrainiernationalpark paradiseinn uwd2015,16,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm1.staticflickr.com/598/21987329422_cf085980df_z.jpg,425,640,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21987329422,596637.3566,5182268.647,-121.733901,46.786962
14,21987080922,10725258@N00,dbcccd11e4,702,1,mail bear,1,0,0,1444154019,7/11/15 9:37,0,0,bear washington paradise mountrainier mountrainiernationalpark peacebear paradiseinn mailbear uwd2015,16,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm1.staticflickr.com/702/21987080922_dbcccd11e4_z.jpg,640,425,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21987080922,596627.1142,5182245.696,-121.73404,46.786757
15,21786610270,10725258@N00,29b068ccf2,5797,6,Bloucher Falls,1,0,0,1444073846,7/10/15 18:47,0,0,bridge waterfall washington mountrainier mountrainiernationalpark atmospheric logbridge vantrumpcreek bloucherfalls uwd2015,15,0,LNkmboVTVrzmLNg2,2460095,0,0,0,1,https://farm6.staticflickr.com/5797/21786610270_29b068ccf2_z.jpg,640,425,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21786610270,593271.3071,5182872.699,-121.777868,46.792876
16,21948325266,10725258@N00,51fa53aab3,629,1,as seen on TV,1,0,0,1444073019,7/10/15 18:28,0,0,waterfall washington painted falls mountrainier mountrainiernationalpark comet cometfalls vantrumpcreek uwd2015,15,0,LNkmboVTVrzmLNg2,2460095,0,0,0,1,https://farm1.staticflickr.com/629/21948325266_51fa53aab3_z.jpg,640,483,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21948325266,593082.4193,5183223.992,-121.780271,46.796063
17,21948118416,10725258@N00,e2514e36a0,576,1,Comet Falls,1,0,0,1444072575,7/10/15 18:43,0,0,bw waterfall washington falls mountrainier mountrainiernationalpark comet cometfalls vantrumpcreek uwd2015,15,0,LNkmboVTVrzmLNg2,2460095,0,0,0,1,https://farm1.staticflickr.com/576/21948118416_e2514e36a0_z.jpg,640,425,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21948118416,593082.4193,5183223.992,-121.780271,46.796063
18,21351373554,10725258@N00,c8854dee83,5642,6,soft water,1,0,0,1444071786,7/10/15 16:46,0,0,waterfall washington mountrainier mountrainiernationalpark cascades vantrumpcreek uwd2015,16,0,YyvdiXtQUL.qk8cwNQ,12590460,0,0,0,1,https://farm6.staticflickr.com/5642/21351373554_c8854dee83_z.jpg,640,425,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21351373554,593131.4919,5181591.886,-121.77996,46.781372
19,21879972552,10725258@N00,eba7942c70,5762,6,Christine Falls,1,0,0,1443808499,7/10/15 16:16,0,0,bridge waterfall washington mountrainier mountrainiernationalpark christinefalls vantrumpcreek christinefallsbridge uwd2015,16,0,YyvdiXtQUL.qk8cwNQ,12590460,0,0,0,1,https://farm6.staticflickr.com/5762/21879972552_eba7942c70_z.jpg,640,425,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21879972552,593165.3934,5181518.055,-121.779531,46.780703
20,21703498840,10725258@N00,d7c9cb8b70,5703,6,Narada Falls,1,0,0,1443806743,7/10/15 15:35,0,0,mist misty fog waterfall washington falls mountrainier mountrainiernationalpark naradafalls paradiseriver uwd2015,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm6.staticflickr.com/5703/21703498840_d7c9cb8b70_z.jpg,640,425,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21703498840,595726.7428,5180921.374,-121.74611,46.774972
21,21268664244,10725258@N00,72613888dc,5811,6,cascades,1,0,0,1443806270,7/10/15 15:00,0,0,washington mountrainier mountrainiernationalpark cascades cascade paradiseriver uwd2015,16,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm6.staticflickr.com/5811/21268664244_72613888dc_z.jpg,425,640,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21268664244,597230.5631,5182664.477,-121.726047,46.790437
22,21879276832,10725258@N00,c026d8eb91,5730,6,Cousin Itt flower,1,0,0,1443805715,7/10/15 14:58,0,0,washington head seed mountrainier mountrainiernationalpark cousinitt uwd2015,16,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm6.staticflickr.com/5730/21879276832_c026d8eb91_z.jpg,640,425,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21879276832,597184.067,5182650.608,-121.726659,46.790319
23,21900722801,10725258@N00,d423ebbe68,681,1,wildflower season,1,0,0,1443805386,7/10/15 14:48,0,0,washington mountrainier mountrainiernationalpark wildflowers paintbrush aster uwd2015,16,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm1.staticflickr.com/681/21900722801_d423ebbe68_z.jpg,425,640,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21900722801,597184.067,5182650.608,-121.726659,46.790319
24,21844484976,42139271@N00,c89403258c,593,1,Nature's Goodies,1,0,0,1443732278,7/21/15 13:16,0,0,travel washington chocolate sony rainier wa mtrainier giftshop mtrainiernationalpark longmire a6000 selp1650 sonya6000 epz16â€“50mmf35â€“56oss,16,0,b80QkTdTVr66MK1e,2441695,0,0,0,1,https://farm1.staticflickr.com/593/21844484976_c89403258c_z.jpg,427,640,https://farm1.staticflickr.com/593/21844484976_571de0d7a3_o.jpg,1067,1600,2015,http://flickr.com/photos/42139271@N00/21844484976,590600.3592,5178003.144,-121.81382,46.749432
25,21682799058,42139271@N00,b5bab869f4,671,1,Chipmunk,1,0,0,1443732273,7/21/15 13:15,0,0,travel animal washington wildlife sony chipmunk rainier wa mtrainier mtrainiernationalpark longmire a6000 selp1650 sonya6000 epz16â€“50mmf35â€“56oss,16,0,b80QkTdTVr66MK1e,2441695,0,0,0,1,https://farm1.staticflickr.com/671/21682799058_b5bab869f4_z.jpg,427,640,https://farm1.staticflickr.com/671/21682799058_a1295492db_o.jpg,1067,1600,2015,http://flickr.com/photos/42139271@N00/21682799058,590600.3592,5178003.144,-121.81382,46.749432
26,21681583678,10725258@N00,ecfef3058b,5829,6,where's that darn waterfall app?,1,0,0,1443728297,7/10/15 14:43,0,0,waterfall washington mountrainier mountrainiernationalpark shooter ipad paradiseriver uwd2015,15,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm6.staticflickr.com/5829/21681583678_ecfef3058b_z.jpg,425,640,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21681583678,596925.652,5182674.214,-121.730039,46.790569
27,21681267830,10725258@N00,1ec51e999d,586,1,perfect crack for waterfalls,1,0,0,1443728091,7/10/15 14:34,0,0,waterfall washington mountrainier mountrainiernationalpark paradiseriver uwd2015,15,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm1.staticflickr.com/586/21681267830_1ec51e999d_z.jpg,640,425,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21681267830,596881.2252,5182688.168,-121.730618,46.790701
28,21246472034,10725258@N00,e592580302,730,1,too cute to pass up,1,0,0,1443727685,7/10/15 14:23,0,0,washington mountrainier mountrainiernationalpark barnswallows swallows feedme uwd2015,15,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm1.staticflickr.com/730/21246472034_e592580302_z.jpg,425,640,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21246472034,596637.9499,5182132.276,-121.733922,46.785735
29,21869016265,10725258@N00,5a60b4a452,646,1,representing,1,0,0,1443727035,7/10/15 13:47,0,0,fog washington binoculars mountrainier mountrainiernationalpark lowcloud uwd2015,16,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm1.staticflickr.com/646/21869016265_5a60b4a452_z.jpg,425,640,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21869016265,596418.09,5182149.968,-121.736798,46.785926
30,21246074524,10725258@N00,2222ac962a,760,1,visitor center,1,0,0,1443726539,7/10/15 13:42,0,0,panorama washington pano mountrainier mountrainiernationalpark visitorcenter uwd2015,16,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm1.staticflickr.com/760/21246074524_2222ac962a_z.jpg,501,640,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21246074524,596418.09,5182149.968,-121.736798,46.785926
31,21842131626,10725258@N00,9917d15e75,5686,6,whistler,1,0,0,1443726010,7/10/15 13:07,0,0,fog washington mountrainier mountrainiernationalpark hoarymarmot marmotacaligata uwd2015,16,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm6.staticflickr.com/5686/21842131626_9917d15e75_z.jpg,425,640,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21842131626,596733.254,5182164.045,-121.732667,46.786007
32,20881470934,88630096@N07,a49fcdb9fb,769,1,_DSC0806.jpg,1,0,0,1442551520,2/15/15 14:49,0,0,,16,0,Sq8PmjxTVrxcEJpp,2468166,0,0,0,1,https://farm1.staticflickr.com/769/20881470934_a49fcdb9fb_z.jpg,428,640,NA,NA,NA,2015,http://flickr.com/photos/88630096@N07/20881470934,597973.9443,5184184.994,-121.715984,46.804008
33,21477986756,88630096@N07,42f7428fc6,5835,6,_DSC0797.jpg,1,0,0,1442551516,2/15/15 14:46,0,0,,16,0,Sq8PmjxTVrxcEJpp,2468166,0,0,0,1,https://farm6.staticflickr.com/5835/21477986756_42f7428fc6_z.jpg,313,640,NA,NA,NA,2015,http://flickr.com/photos/88630096@N07/21477986756,597973.5721,5184207.773,-121.715984,46.804213
34,21477980986,88630096@N07,3ec9337b5e,733,1,_DSC0778.jpg,1,0,0,1442551496,2/15/15 14:33,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm1.staticflickr.com/733/21477980986_3ec9337b5e_z.jpg,539,640,NA,NA,NA,2015,http://flickr.com/photos/88630096@N07/21477980986,598012.637,5184437.271,-121.715423,46.806272
35,21477979006,88630096@N07,e36c6c887f,5653,6,_DSC0735.jpg,1,0,0,1442551489,2/15/15 13:41,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm6.staticflickr.com/5653/21477979006_e36c6c887f_z.jpg,428,640,NA,NA,NA,2015,http://flickr.com/photos/88630096@N07/21477979006,598375.8177,5185559.285,-121.710423,46.816313
36,21316921409,67783195@N00,4b85871f42,5648,6,IMG_6399.jpg,1,0,0,1442550116,4/9/15 10:08,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm6.staticflickr.com/5648/21316921409_4b85871f42_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/21316921409,612779.487,5191702.749,-121.520153,46.869297
37,21316913309,67783195@N00,d5dc0b2649,622,1,IMG_6398.jpg,1,0,0,1442550086,4/9/15 10:02,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm1.staticflickr.com/622/21316913309_d5dc0b2649_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/21316913309,612971.2526,5191426.576,-121.517706,46.86678
38,21315758280,67783195@N00,2185b41b30,622,1,IMG_6390.jpg,1,0,0,1442550051,4/9/15 9:58,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm1.staticflickr.com/622/21315758280_2185b41b30_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/21315758280,612908.765,5191380.598,-121.518537,46.866377
39,20881045054,67783195@N00,d99ec3dbd1,624,1,IMG_6383.jpg,1,0,0,1442550009,4/9/15 9:58,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm1.staticflickr.com/624/20881045054_d99ec3dbd1_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/20881045054,612916.2227,5191389.409,-121.518437,46.866455
40,21316877579,67783195@N00,418b051669,781,1,IMG_6380.jpg,1,0,0,1442549956,4/9/15 9:54,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm1.staticflickr.com/781/21316877579_418b051669_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/21316877579,612989.9554,5191433.376,-121.517459,46.866838
41,20881017144,67783195@N00,31d4dbf8f3,5708,6,IMG_6370.jpg,1,0,0,1442549910,4/9/15 9:51,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm6.staticflickr.com/5708/20881017144_31d4dbf8f3_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/20881017144,613019.6882,5191429.38,-121.51707,46.866797
42,21492666532,67783195@N00,649ddedd6c,5675,6,IMG_6367.jpg,1,0,0,1442549861,4/9/15 9:51,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm6.staticflickr.com/5675/21492666532_649ddedd6c_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/21492666532,613020.1392,5191429.722,-121.517064,46.8668
43,21316837779,67783195@N00,61ff30c7b3,693,1,IMG_6358.jpg,1,0,0,1442549813,4/9/15 9:45,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm1.staticflickr.com/693/21316837779_61ff30c7b3_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/21316837779,613006.0335,5191534.725,-121.517223,46.867747
44,21512358071,67783195@N00,19279fd6fb,655,1,IMG_6354.jpg,1,0,0,1442549773,4/9/15 9:45,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm1.staticflickr.com/655/21512358071_19279fd6fb_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/21512358071,613006.2453,5191535.619,-121.51722,46.867755
45,21315904718,67783195@N00,cb3a64e449,5760,6,IMG_6346.jpg,1,0,0,1442549737,4/9/15 9:45,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm6.staticflickr.com/5760/21315904718_cb3a64e449_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/21315904718,613007.6228,5191531.309,-121.517203,46.867716
46,20880961234,67783195@N00,d8decb2c41,656,1,IMG_6340.jpg,1,0,0,1442549700,4/9/15 9:44,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm1.staticflickr.com/656/20880961234_d8decb2c41_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/20880961234,613006.8244,5191529.182,-121.517214,46.867697
47,20880948204,67783195@N00,9613005a1f,625,1,IMG_6336.jpg,1,0,0,1442549658,4/9/15 9:44,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm1.staticflickr.com/625/20880948204_9613005a1f_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/20880948204,613006.1217,5191530.058,-121.517223,46.867705
48,20882564743,67783195@N00,c1c717ebc4,734,1,IMG_6334.jpg,1,0,0,1442549619,4/9/15 9:43,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm1.staticflickr.com/734/20882564743_c1c717ebc4_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/20882564743,613032.592,5191541.341,-121.516873,46.867802
49,20882553713,67783195@N00,42db6f84b6,5757,6,IMG_6325.jpg,1,0,0,1442549579,4/9/15 9:42,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm6.staticflickr.com/5757/20882553713_42db6f84b6_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/20882553713,613031.9235,5191544.441,-121.516881,46.86783
50,21512291761,67783195@N00,885bb27f78,612,1,IMG_6323.jpg,1,0,0,1442549539,4/9/15 9:42,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm1.staticflickr.com/612/21512291761_885bb27f78_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/21512291761,613034.0929,5191554.709,-121.51685,46.867922
51,20880904904,67783195@N00,aee0320973,5697,6,IMG_6319.jpg,1,0,0,1442549502,4/9/15 9:40,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm6.staticflickr.com/5697/20880904904_aee0320973_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/20880904904,613089.1045,5191612.885,-121.516114,46.868436
52,21512270861,67783195@N00,43d17620e4,5717,6,IMG_6317.jpg,1,0,0,1442549465,4/9/15 9:40,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm6.staticflickr.com/5717/21512270861_43d17620e4_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/21512270861,613089.2632,5191612.555,-121.516112,46.868433
53,20882511323,67783195@N00,1a5e4d344c,780,1,IMG_6315.jpg,1,0,0,1442549428,4/9/15 9:40,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm1.staticflickr.com/780/20882511323_1a5e4d344c_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/20882511323,613092.975,5191617.849,-121.516062,46.86848
54,21503629905,67783195@N00,676710588e,728,1,IMG_6304.jpg,1,0,0,1442549381,4/9/15 9:38,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm1.staticflickr.com/728/21503629905_676710588e_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/21503629905,613091.4893,5191664.176,-121.51607,46.868897
55,21477377936,67783195@N00,ba9e097cac,5816,6,IMG_6296.jpg,1,0,0,1442549344,4/9/15 9:36,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm6.staticflickr.com/5816/21477377936_ba9e097cac_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/21477377936,613077.1629,5191728.378,-121.516242,46.869477
56,20880847734,67783195@N00,01dce8146c,5736,6,IMG_6291.jpg,1,0,0,1442549307,4/9/15 9:35,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm6.staticflickr.com/5736/20880847734_01dce8146c_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/20880847734,613077.7572,5191753.401,-121.516228,46.869702
57,21503597125,67783195@N00,8e34dd4d20,5717,6,IMG_6280.jpg,1,0,0,1442549269,4/9/15 9:33,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm6.staticflickr.com/5717/21503597125_8e34dd4d20_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/21503597125,613076.1774,5191792.611,-121.516239,46.870055
58,20880828504,67783195@N00,4eb5063c18,5761,6,IMG_6279.jpg,1,0,0,1442549238,4/9/15 9:32,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm6.staticflickr.com/5761/20880828504_4eb5063c18_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/20880828504,613087.451,5191801.161,-121.516089,46.87013
59,21503576765,67783195@N00,74237df609,5679,6,IMG_6274.jpg,1,0,0,1442549198,4/9/15 9:31,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm6.staticflickr.com/5679/21503576765_74237df609_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/21503576765,613081.1038,5191810.267,-121.51617,46.870213
60,21477325056,67783195@N00,094e1ef50b,5808,6,IMG_6270.jpg,1,0,0,1442549160,4/9/15 9:31,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm6.staticflickr.com/5808/21477325056_094e1ef50b_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/21477325056,613074.2394,5191814.473,-121.516259,46.870252
61,21316638659,67783195@N00,2a7fefc30b,5761,6,IMG_6263.jpg,1,0,0,1442549114,4/9/15 9:30,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm6.staticflickr.com/5761/21316638659_2a7fefc30b_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/21316638659,613074.5916,5191820.037,-121.516253,46.870302
62,21315716618,67783195@N00,068a0b7cf8,717,1,IMG_6259.jpg,1,0,0,1442549072,4/9/15 9:28,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm1.staticflickr.com/717/21315716618_068a0b7cf8_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/21315716618,613035.7788,5191820.527,-121.516762,46.870313
63,21316613509,67783195@N00,219aeef6bb,5703,6,IMG_6249.jpg,1,0,0,1442549027,4/9/15 9:27,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm6.staticflickr.com/5703/21316613509_219aeef6bb_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/21316613509,612994.5278,5191784.62,-121.517312,46.869997
64,21492417352,67783195@N00,0c466d1f84,567,1,IMG_6242.jpg,1,0,0,1442548990,4/9/15 9:26,0,0,,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm1.staticflickr.com/567/21492417352_0c466d1f84_z.jpg,427,640,NA,NA,NA,2015,http://flickr.com/photos/67783195@N00/21492417352,612956.856,5191761.01,-121.517812,46.869791
